Contract;Date and time;kWh;Consumption code;Average temperature (°C);Temperature code
0312316267;2018-10-18 06:00:00;0.12;R;0;R
0312316267;2018-10-18 05:00:00;0.06;R;0;R
0312316267;2018-10-18 04:00:00;0.12;R;0;R
0312316267;2018-10-18 03:00:00;0.52;R;0;R
0312316267;2018-10-18 02:00:00;0.12;R;0;R
0312316267;2018-10-18 01:00:00;0.06;R;0;R
0312316267;2018-10-18 00:00:00;0.11;R;1;R
0312316267;2018-10-17 23:00:00;0.17;R;1;R
0312316267;2018-10-17 22:00:00;0.95;R;2;R
0312316267;2018-10-17 21:00:00;1.47;R;2;R
0312316267;2018-10-17 20:00:00;1.10;R;3;R
0312316267;2018-10-17 19:00:00;0.91;R;3;R
0312316267;2018-10-17 18:00:00;1.48;R;4;R
0312316267;2018-10-17 17:00:00;0.28;R;4;R
0312316267;2018-10-17 16:00:00;0.64;R;7;R
0312316267;2018-10-17 15:00:00;1.32;R;7;R
0312316267;2018-10-17 14:00:00;0.22;R;7;R
0312316267;2018-10-17 13:00:00;1.01;R;8;R
0312316267;2018-10-17 12:00:00;4.15;R;8;R
0312316267;2018-10-17 11:00:00;3.41;R;9;R
0312316267;2018-10-17 10:00:00;0.17;R;9;R
0312316267;2018-10-17 09:00:00;0.18;R;8;R
0312316267;2018-10-17 08:00:00;0.07;R;9;R
0312316267;2018-10-17 07:00:00;0.07;R;8;R
0312316267;2018-10-17 06:00:00;0.04;R;8;R
0312316267;2018-10-17 05:00:00;0.10;R;10;R
0312316267;2018-10-17 04:00:00;0.04;R;9;R
0312316267;2018-10-17 03:00:00;0.58;R;9;R
0312316267;2018-10-17 02:00:00;0.04;R;9;R
0312316267;2018-10-17 01:00:00;0.09;R;9;R
0312316267;2018-10-17 00:00:00;0.09;R;8;R
0312316267;2018-10-16 23:00:00;0.12;R;7;R
0312316267;2018-10-16 22:00:00;0.17;R;8;R
0312316267;2018-10-16 21:00:00;0.78;R;8;R
0312316267;2018-10-16 20:00:00;1.36;R;8;R
0312316267;2018-10-16 19:00:00;1.48;R;8;R
0312316267;2018-10-16 18:00:00;1.48;R;7;R
0312316267;2018-10-16 17:00:00;0.61;R;8;R
0312316267;2018-10-16 16:00:00;0.62;R;8;R
0312316267;2018-10-16 15:00:00;0.39;R;9;R
0312316267;2018-10-16 14:00:00;1.07;R;8;R
0312316267;2018-10-16 13:00:00;1.05;R;8;R
0312316267;2018-10-16 12:00:00;0.13;R;8;R
0312316267;2018-10-16 11:00:00;0.06;R;7;R
0312316267;2018-10-16 10:00:00;0.19;R;6;R
0312316267;2018-10-16 09:00:00;0.61;R;5;R
0312316267;2018-10-16 08:00:00;0.11;R;5;R
0312316267;2018-10-16 07:00:00;0.07;R;5;R
0312316267;2018-10-16 06:00:00;0.06;R;4;R
0312316267;2018-10-16 05:00:00;0.63;R;4;R
0312316267;2018-10-16 04:00:00;0.06;R;5;R
0312316267;2018-10-16 03:00:00;0.12;R;5;R
0312316267;2018-10-16 02:00:00;0.06;R;5;R
0312316267;2018-10-16 01:00:00;0.08;R;5;R
0312316267;2018-10-16 00:00:00;0.09;R;6;R
0312316267;2018-10-15 23:00:00;0.99;R;6;R
0312316267;2018-10-15 22:00:00;1.02;R;7;R
0312316267;2018-10-15 21:00:00;0.32;R;9;R
0312316267;2018-10-15 20:00:00;0.46;R;10;R
0312316267;2018-10-15 19:00:00;0.98;R;12;R
0312316267;2018-10-15 18:00:00;0.50;R;13;R
0312316267;2018-10-15 17:00:00;0.33;R;13;R
0312316267;2018-10-15 16:00:00;0.94;R;11;R
0312316267;2018-10-15 15:00:00;0.42;R;10;R
0312316267;2018-10-15 14:00:00;0.34;R;10;R
0312316267;2018-10-15 13:00:00;2.50;R;9;R
0312316267;2018-10-15 12:00:00;2.12;R;9;R
0312316267;2018-10-15 11:00:00;0.38;R;9;R
0312316267;2018-10-15 10:00:00;0.26;R;10;R
0312316267;2018-10-15 09:00:00;0.95;R;10;R
0312316267;2018-10-15 08:00:00;0.06;R;9;R
0312316267;2018-10-15 07:00:00;0.09;R;9;R
0312316267;2018-10-15 06:00:00;0.04;R;8;R
0312316267;2018-10-15 05:00:00;0.13;R;7;R
0312316267;2018-10-15 04:00:00;0.05;R;6;R
0312316267;2018-10-15 03:00:00;0.10;R;6;R
0312316267;2018-10-15 02:00:00;0.09;R;7;R
0312316267;2018-10-15 01:00:00;0.51;R;6;R
0312316267;2018-10-15 00:00:00;0.09;R;8;R
0312316267;2018-10-14 23:00:00;0.12;R;7;R
0312316267;2018-10-14 22:00:00;2.18;R;8;R
0312316267;2018-10-14 21:00:00;1.98;R;9;R
0312316267;2018-10-14 20:00:00;1.80;R;11;R
0312316267;2018-10-14 19:00:00;0.37;R;9;R
0312316267;2018-10-14 18:00:00;0.03;R;10;R
0312316267;2018-10-14 17:00:00;0.09;R;10;R
0312316267;2018-10-14 16:00:00;0.04;R;11;R
0312316267;2018-10-14 15:00:00;0.09;R;12;R
0312316267;2018-10-14 14:00:00;0.04;R;12;R
0312316267;2018-10-14 13:00:00;0.09;R;11;R
0312316267;2018-10-14 12:00:00;0.04;R;12;R
0312316267;2018-10-14 11:00:00;0.76;R;11;R
0312316267;2018-10-14 10:00:00;0.04;R;10;R
0312316267;2018-10-14 09:00:00;0.11;R;9;R
0312316267;2018-10-14 08:00:00;0.17;R;7;R
0312316267;2018-10-14 07:00:00;0.04;R;6;R
0312316267;2018-10-14 06:00:00;0.09;R;4;R
0312316267;2018-10-14 05:00:00;0.04;R;4;R
0312316267;2018-10-14 04:00:00;0.09;R;5;R
0312316267;2018-10-14 03:00:00;0.07;R;5;R
0312316267;2018-10-14 02:00:00;0.05;R;5;R
0312316267;2018-10-14 01:00:00;0.66;R;5;R
0312316267;2018-10-14 00:00:00;0.04;R;5;R
0312316267;2018-10-13 23:00:00;0.09;R;5;R
0312316267;2018-10-13 22:00:00;0.06;R;5;R
0312316267;2018-10-13 21:00:00;0.06;R;4;R
0312316267;2018-10-13 20:00:00;0.09;R;5;R
0312316267;2018-10-13 19:00:00;0.03;R;5;R
0312316267;2018-10-13 18:00:00;0.09;R;6;R
0312316267;2018-10-13 17:00:00;0.58;R;6;R
0312316267;2018-10-13 16:00:00;0.04;R;8;R
0312316267;2018-10-13 15:00:00;0.08;R;9;R
0312316267;2018-10-13 14:00:00;1.78;R;9;R
0312316267;2018-10-13 13:00:00;2.71;R;8;R
0312316267;2018-10-13 12:00:00;1.97;R;8;R
0312316267;2018-10-13 11:00:00;2.10;R;8;R
0312316267;2018-10-13 10:00:00;1.24;R;8;R
0312316267;2018-10-13 09:00:00;0.22;R;7;R
0312316267;2018-10-13 08:00:00;0.09;R;7;R
0312316267;2018-10-13 07:00:00;0.08;R;6;R
0312316267;2018-10-13 06:00:00;0.09;R;5;R
0312316267;2018-10-13 05:00:00;0.08;R;5;R
0312316267;2018-10-13 04:00:00;0.09;R;6;R
0312316267;2018-10-13 03:00:00;0.65;R;6;R
0312316267;2018-10-13 02:00:00;0.22;R;6;R
0312316267;2018-10-13 01:00:00;0.05;R;6;R
0312316267;2018-10-13 00:00:00;0.12;R;6;R
0312316267;2018-10-12 23:00:00;0.12;R;7;R
0312316267;2018-10-12 22:00:00;0.12;R;7;R
0312316267;2018-10-12 21:00:00;0.16;R;7;R
0312316267;2018-10-12 20:00:00;0.20;R;7;R
0312316267;2018-10-12 19:00:00;1.16;R;7;R
0312316267;2018-10-12 18:00:00;2.10;R;8;R
0312316267;2018-10-12 17:00:00;2.43;R;9;R
0312316267;2018-10-12 16:00:00;1.10;R;10;R
0312316267;2018-10-12 15:00:00;0.45;R;10;R
0312316267;2018-10-12 14:00:00;0.46;R;10;R
0312316267;2018-10-12 13:00:00;0.37;R;10;R
0312316267;2018-10-12 12:00:00;0.58;R;10;R
0312316267;2018-10-12 11:00:00;0.84;R;11;R
0312316267;2018-10-12 10:00:00;0.60;R;10;R
0312316267;2018-10-12 09:00:00;0.19;R;9;R
0312316267;2018-10-12 08:00:00;0.04;R;10;R
0312316267;2018-10-12 07:00:00;0.10;R;9;R
0312316267;2018-10-12 06:00:00;0.04;R;9;R
0312316267;2018-10-12 05:00:00;0.11;R;10;R
0312316267;2018-10-12 04:00:00;0.04;R;10;R
0312316267;2018-10-12 03:00:00;0.77;R;10;R
0312316267;2018-10-12 02:00:00;0.11;R;11;R
0312316267;2018-10-12 01:00:00;0.09;R;11;R
0312316267;2018-10-12 00:00:00;0.04;R;11;R
0312316267;2018-10-11 23:00:00;0.09;R;10;R
0312316267;2018-10-11 22:00:00;0.12;R;9;R
0312316267;2018-10-11 21:00:00;0.20;R;9;R
0312316267;2018-10-11 20:00:00;0.48;R;9;R
0312316267;2018-10-11 19:00:00;1.99;R;9;R
0312316267;2018-10-11 18:00:00;0.71;R;9;R
0312316267;2018-10-11 17:00:00;0.36;R;9;R
