Contract;Date and time;kWh;Consumption code;Average temperature (°C);Temperature code
0312316267;2019-02-14 23:00:00;2.43;R;-6;R
0312316267;2019-02-14 22:00:00;2.56;R;-7;R
0312316267;2019-02-14 21:00:00;2.76;R;-8;R
0312316267;2019-02-14 20:00:00;1.02;R;-8;R
0312316267;2019-02-14 19:00:00;3.41;R;-9;R
0312316267;2019-02-14 18:00:00;0.53;R;-8;R
0312316267;2019-02-14 17:00:00;0.50;R;-6;R
0312316267;2019-02-14 16:00:00;0.57;R;-6;R
0312316267;2019-02-14 15:00:00;1.64;R;-5;R
0312316267;2019-02-14 14:00:00;0.53;R;-5;R
0312316267;2019-02-14 13:00:00;0.61;R;-5;R
0312316267;2019-02-14 12:00:00;3.43;R;-6;R
0312316267;2019-02-14 11:00:00;3.84;R;-6;R
0312316267;2019-02-14 10:00:00;2.34;R;-6;R
0312316267;2019-02-14 09:00:00;1.70;R;-7;R
0312316267;2019-02-14 08:00:00;2.02;R;-7;R
0312316267;2019-02-14 07:00:00;1.11;R;-7;R
0312316267;2019-02-14 06:00:00;0.81;R;-6;R
0312316267;2019-02-14 05:00:00;0.98;R;-7;R
0312316267;2019-02-14 04:00:00;0.95;R;-7;R
0312316267;2019-02-14 03:00:00;0.75;R;-7;R
0312316267;2019-02-14 02:00:00;0.41;R;-7;R
0312316267;2019-02-14 01:00:00;0.42;R;-5;R
0312316267;2019-02-14 00:00:00;0.45;R;-5;R
0312316267;2019-02-13 23:00:00;1.60;R;-5;R
0312316267;2019-02-13 22:00:00;1.34;R;-4;R
0312316267;2019-02-13 21:00:00;0.68;R;-4;R
0312316267;2019-02-13 20:00:00;0.74;R;-3;R
0312316267;2019-02-13 19:00:00;1.77;R;-3;R
0312316267;2019-02-13 18:00:00;1.32;R;-2;R
0312316267;2019-02-13 17:00:00;1.04;R;-2;R
0312316267;2019-02-13 16:00:00;0.67;R;-1;R
0312316267;2019-02-13 15:00:00;0.26;R;0;R
0312316267;2019-02-13 14:00:00;0.36;R;0;R
0312316267;2019-02-13 13:00:00;0.38;R;0;R
0312316267;2019-02-13 12:00:00;0.94;R;0;R
0312316267;2019-02-13 11:00:00;3.22;R;-2;R
0312316267;2019-02-13 10:00:00;0.47;R;-4;R
0312316267;2019-02-13 09:00:00;2.28;R;-5;R
0312316267;2019-02-13 08:00:00;3.33;R;-5;R
0312316267;2019-02-13 07:00:00;1.00;R;-6;R
0312316267;2019-02-13 06:00:00;1.11;R;-6;R
0312316267;2019-02-13 05:00:00;1.03;R;-6;R
0312316267;2019-02-13 04:00:00;1.21;R;-6;R
0312316267;2019-02-13 03:00:00;1.10;R;-7;R
0312316267;2019-02-13 02:00:00;1.66;R;-7;R
0312316267;2019-02-13 01:00:00;1.03;R;-7;R
0312316267;2019-02-13 00:00:00;1.09;R;-7;R
0312316267;2019-02-12 23:00:00;2.53;R;-7;R
0312316267;2019-02-12 22:00:00;3.22;R;-6;R
0312316267;2019-02-12 21:00:00;2.94;R;-7;R
0312316267;2019-02-12 20:00:00;1.18;R;-8;R
0312316267;2019-02-12 19:00:00;2.35;R;-9;R
0312316267;2019-02-12 18:00:00;1.94;R;-11;R
0312316267;2019-02-12 17:00:00;1.31;R;-11;R
0312316267;2019-02-12 16:00:00;1.40;R;-12;R
0312316267;2019-02-12 15:00:00;1.37;R;-12;R
0312316267;2019-02-12 14:00:00;1.88;R;-12;R
0312316267;2019-02-12 13:00:00;1.26;R;-13;R
0312316267;2019-02-12 12:00:00;1.15;R;-14;R
0312316267;2019-02-12 11:00:00;2.33;R;-14;R
0312316267;2019-02-12 10:00:00;2.74;R;-15;R
0312316267;2019-02-12 09:00:00;1.98;R;-15;R
